author,date,text
__v1v1n,2019-08-20 02:48:35,@KomentarMirink @Namaku_Wida @tigers_killer @MagdalenaAyesh1 @yuliaariani1 @WidayatiDida @yanniarsim @sitirumayah2 https://t.co/4LpPBFz4V2
praesodymium,2019-08-20 02:48:35,"RT @nytimesworld: In 2016, 32.7 out of every 100,000 Thais died on the countrys roads. By comparison, the road fatality rate in the U.S. w"
irkifauzi,2019-08-20 02:48:35,"#PapuaBukanMonyet 
Sudah sempat lihat 1 video, saya kurang tau ada berapa video yang beredar.

Jadi ini ada oknum m https://t.co/zxXplm8NI0"
pengelanasafir,2019-08-20 02:48:35,"RT @exelflores21: Ahok : MUI terbitkan Fatwa Ahok Menista Agama.
UAS : MUI Nilai UAS Tak Bermaksud Mencela Agama Lain.

Note : Ahok dan UAS"
Lip6Sport,2019-08-20 02:48:35,"Pengamanan Maksimal, Etape 1 Tour d'Indonesia 2019 Berjalan Lancar https://t.co/TWrDLPhs2y https://t.co/NLSjzvQA4C"
Tista_pam,2019-08-20 02:48:36,"Jangan malu bung.
Mayoritas itu harus melindungi minoritas.
Seperti sila ke-5 Pancasila.
5. Keadilan sosial bagi se https://t.co/oXkg1uMx9v"
sagitarides7412,2019-08-20 02:48:36,"@SuicideClub62 Makanya Zaa, sy ga mau chat pake bahasa indonesia, takut grammernya betul "
ukmekgnac,2019-08-20 02:48:36,"@rrarstra @CiumAkuh Dgn ngomong gitu, brarti km yakin daerah laennya ga bahagia dalam indonesia/dijajah jakarta don https://t.co/GBEsDAO8z6"
Lip6Sport,2019-08-20 02:48:36,Kisah 3 Remaja Indonesia Timba Ilmu di Manchester City https://t.co/lpcLypYrzh https://t.co/absMjkufYw
lilMawn,2019-08-20 02:48:36,"RT @masked1193: Chikuy 

@Y_ChikaJKT48 at Upacara Kemerdekaan Indonesia ke-74

@ Bakti Mulya 400 Senior High School, Jakarta [17.08.2019]"
scrapper_142,2019-08-20 02:48:37,goblok lu anjing
aprilia_ik,2019-08-20 02:48:37,"RT @renaldypjs: Opening @nikizefanya pakai Proklamasi &amp; kibarin bendera Indonesia di Los Angeles, CA.

                PROUD! https://t"
unyeeeel,2019-08-20 02:48:37,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
Maha_Patih_,2019-08-20 02:48:37,RT @PERMATAAYU20: Selamat pagi INDONESIA https://t.co/uG2pS6l7o6
joe_teruci,2019-08-20 02:48:38,"@Fiqri82015 Banyak faktor sih bang, secara kultural dan historis mereka tdk memiliki keterkaitan dg Indonesia, sela https://t.co/x6pfkkEmtO"
Roni50256415,2019-08-20 02:48:38,"RT @Anggraini_4yu: SUMBER FITNAH UMAT

Ini Orang Kalo Ga Segera Ditangkap membahayakan Kerukunan Umat Beragama di Indonesia

Liat Aja Kelak"
DUKCAPILKOTASMG,2019-08-20 02:48:38,Puncak Peringatan Hari Anak Nasional dan Penyerahan Piagam Penghargaan untuk 10 Mitra KIA oleh Ibu Wakil Walikota d https://t.co/rEd1oeQBOA
alelaki37,2019-08-20 02:48:39,"RT @hilmi_fpi: Alhamdulillah, di Hari Kemerdekaan Republik Indonesia ke 74, Laskar FPI dari Karawang menggelar Aksi Sosial dgn mendistribus"
diztiaa,2019-08-20 02:48:39,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
haqqimhamidi_,2019-08-20 02:48:40,Jap. Kenapa video moba igtv aku sampai ke indonesia ni hahahahhaha anjay.
Vara_dena,2019-08-20 02:48:40,"RT @renaldypjs: Opening @nikizefanya pakai Proklamasi &amp; kibarin bendera Indonesia di Los Angeles, CA.

                PROUD! https://t"
aminuddin_90,2019-08-20 02:48:40,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
annisareski,2019-08-20 02:48:40,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
irkifauzi,2019-08-20 02:48:41,Pingin aja ketik panjang gini krn punya temen-temen dari maluku. sama dengan papua sama-sama dari indonesia timur. https://t.co/FX3ZlSpnBv
cak_giant,2019-08-20 02:48:41,"Negara ini ibarat papan catur.
Bisa diatur menurut pemaunnya.
Bangsat"
teddycputra,2019-08-20 02:48:41,"74 tahun Indonesia, masih saja rasis?"
TriYuliBudiUto2,2019-08-20 02:48:41,"RT @didikpurwadi868: Mari kita jaga persatuan dan kesatuan Indonesia dari Sabang sampai Merauke, dari Miangas sampai Rote

Kita semua bersa"
lulu_felisa,2019-08-20 02:48:42,"RT @renaldypjs: Opening @nikizefanya pakai Proklamasi &amp; kibarin bendera Indonesia di Los Angeles, CA.

                PROUD! https://t"
lokerlink,2019-08-20 02:48:42,LOKERLINK adalah sebuah usaha yang bergerak dibidang HR services portal yang memiliki cakupan bisnis yang luas https://t.co/5t3TbHf2GO
